nth vaddr       bind type lib                                  name
12  0x1400ad5e0 NONE FUNC USER32.dll                           AdjustWindowRectEx
13  0x1400ad5e8 NONE FUNC USER32.dll                           GetPropA
14  0x1400ad5f0 NONE FUNC USER32.dll                           SetPropA
15  0x1400ad5f8 NONE FUNC USER32.dll                           ReleaseDC
16  0x1400ad600 NONE FUNC USER32.dll                           GetDC
17  0x1400ad608 NONE FUNC USER32.dll                           SetForegroundWindow
18  0x1400ad610 NONE FUNC USER32.dll                           GetForegroundWindow
19  0x1400ad618 NONE FUNC USER32.dll                           IsWindowUnicode
20  0x1400ad620 NONE FUNC USER32.dll                           ReleaseCapture
21  0x1400ad628 NONE FUNC USER32.dll                           SetCapture
22  0x1400ad630 NONE FUNC USER32.dll                           GetCapture
23  0x1400ad638 NONE FUNC USER32.dll                           GetKeyState
24  0x1400ad640 NONE FUNC USER32.dll                           SetFocus
25  0x1400ad648 NONE FUNC USER32.dll                           BringWindowToTop
26  0x1400ad650 NONE FUNC USER32.dll                           GetMonitorInfoA
27  0x1400ad658 NONE FUNC USER32.dll                           SetWindowPos
28  0x1400ad660 NONE FUNC USER32.dll                           SetLayeredWindowAttributes
29  0x1400ad668 NONE FUNC USER32.dll                           IsChild
30  0x1400ad670 NONE FUNC USER32.dll                           GetMessageExtraInfo
31  0x1400ad678 NONE FUNC USER32.dll                           TrackMouseEvent
32  0x1400ad680 NONE FUNC USER32.dll                           GetKeyboardLayout
33  0x1400ad688 NONE FUNC USER32.dll                           EmptyClipboard
34  0x1400ad690 NONE FUNC USER32.dll                           GetClipboardData
35  0x1400ad698 NONE FUNC USER32.dll                           SetClipboardData
36  0x1400ad6a0 NONE FUNC USER32.dll                           CloseClipboard
37  0x1400ad6a8 NONE FUNC USER32.dll                           OpenClipboard
38  0x1400ad6b0 NONE FUNC USER32.dll                           PostMessageA
39  0x1400ad6b8 NONE FUNC USER32.dll                           MonitorFromPoint
40  0x1400ad6c0 NONE FUNC USER32.dll                           LoadIconA
41  0x1400ad6c8 NONE FUNC USER32.dll                           ScreenToClient
42  0x1400ad6d0 NONE FUNC USER32.dll                           UpdateWindow
43  0x1400ad6d8 NONE FUNC USER32.dll                           ShowWindow
44  0x1400ad6e0 NONE FUNC USER32.dll                           DestroyWindow
45  0x1400ad6e8 NONE FUNC USER32.dll                           CreateWindowExW
46  0x1400ad6f0 NONE FUNC USER32.dll                           RegisterClassExW
47  0x1400ad6f8 NONE FUNC USER32.dll                           UnregisterClassW
48  0x1400ad700 NONE FUNC USER32.dll                           PostQuitMessage
49  0x1400ad708 NONE FUNC USER32.dll                           DefWindowProcW
50  0x1400ad710 NONE FUNC USER32.dll                           PeekMessageA
51  0x1400ad718 NONE FUNC USER32.dll                           DispatchMessageA
52  0x1400ad720 NONE FUNC USER32.dll                           TranslateMessage
53  0x1400ad728 NONE FUNC USER32.dll                           EnumDisplayMonitors
54  0x1400ad730 NONE FUNC USER32.dll                           IsIconic
55  0x1400ad738 NONE FUNC USER32.dll                           SetProcessDPIAware
56  0x1400ad740 NONE FUNC USER32.dll                           GetClientRect
1   0x1400ad068 NONE FUNC KERNEL32.dll                         RtlVirtualUnwind
2   0x1400ad070 NONE FUNC KERNEL32.dll                         RtlLookupFunctionEntry
3   0x1400ad078 NONE FUNC KERNEL32.dll                         RtlCaptureContext
4   0x1400ad080 NONE FUNC KERNEL32.dll                         InitializeSListHead
5   0x1400ad088 NONE FUNC KERNEL32.dll                         GetSystemTimeAsFileTime
6   0x1400ad090 NONE FUNC KERNEL32.dll                         GetCurrentThreadId
7   0x1400ad098 NONE FUNC KERNEL32.dll                         GetCurrentProcessId
